"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Chile","CHL","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6760565704822","","","","","24.943241526591","","","","","26.1685947683912","","","","","25.5273169833417","","","","","25.8922916949858","27.2458670675305","25.0471553039699","23.9366936042629","22.8682518073035","22.5697925543167","20.8768704085084","21.0362990619754","",
"China","CHN","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7650066385472","","","","","58.6601588038163","","","","","60.7048393224178","","","","","66.1745038879297","","","","","69.4795704098502","70.5420288260625","63.8270168403804","65.5145502176156","59.767367508178","59.0634224622344","52.2113220381052","52.6645958291981","",
"Côte d'Ivoire","CIV","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8732006371708","","","","","24.8516922381457","","","","","25.2634935105474","","","","","21.828811803797","","","","","21.6177050045333","22.5930725475998","22.4944044705046","21.305543161003","20.9001776437824","27.6874939617682","26.6747041085018","25.8862663364222","",
"Camerún","CMR","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.0066749022861","","","","","72.5750130995431","","","","","70.8294828226436","","","","","63.453084420867","","","","","59.2934031505085","58.0769014769414","62.776696996933","58.186338147769","56.7153055798615","77.0517429779876","73.2052912702734","72.7930962237353","",
"Congo, República Democrática del","COD","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2331345035832","","","","","43.4830348273219","","","","","44.7617445693486","","","","","42.0434387166272","","","","","41.3980393308066","41.4932879518651","43.0367715681656","44.4957609524039","42.5494471010008","44.9311859243259","45.4995001760321","44.9092635986842","",
"Congo, República del","COG","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.687160730001","","","","","42.6625650138873","","","","","43.5987852102714","","","","","42.6890518199943","","","","","42.0090921086364","44.1555934546283","43.489987189081","46.1266373227817","45.8528162684726","44.1476951394146","45.7110423973119","46.6382202758892","",
"Colombia","COL","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3835154068371","","","","","20.0132370260885","","","","","20.053419966933","","","","","21.2847753629773","","","","","21.4978454233525","21.3677787511874","20.5366362157463","19.2233480224231","18.3442052573323","17.3002842821175","16.580600367949","16.5272102219124","",
"Comoras","COM","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7539912721864","","","","","21.0774230373692","","","","","21.5440557162257","","","","","21.2432064306257","","","","","20.6663578844449","21.0201604355961","21.2526292004144","21.047961835469","21.5020719890253","20.7155574585704","20.4827277304833","20.5468245996681","",
"Cabo Verde","CPV","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1387253276867","","","","","36.3646106945812","","","","","36.6281241632985","","","","","30.26240910452","","","","","27.5964406735222","31.6417781748099","32.9409930254958","32.0858434168133","31.6210811139822","38.6336136590695","33.3923307503611","34.7787001010668","",
"Costa Rica","CRI","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3087643200652","","","","","18.5616402596707","","","","","19.4121020855013","","","","","19.6573072133395","","","","","19.2729527243907","19.7021329340499","19.335127675511","18.3415171125168","17.5436341138655","16.8792899428772","15.6558122715552","15.7259203021082","",
"Estados pequeos del Caribe","CSS","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5779966481033","","","","","22.6098211481021","","","","","22.7274885937187","","","","","23.0386364439137","","","","","22.8625935507492","23.5874346202232","22.1621202477179","21.4455559615668","19.9605083204192","20.0852070221814","19.1017361304746","19.0118520067677","",
"Cuba","CUB","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.792351637822","","","","","24.2596517372967","","","","","24.1373678979693","","","","","24.0099193558136","","","","","23.9332977278498","24.7873196315851","23.239787139786","22.8507432819569","21.2962343289296","20.8640995675413","19.7378413521182","19.7060474004201","",
"Curacao","CUW","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9065766023037","","","","","20.517221800891","","","","","20.184993974631","","","","","19.7180449032934","","","","","20.0818659942818","20.0909639911253","19.2248432088374","18.6845457352246","18.2935273677138","19.1013476314892","16.9580216019328","17.2944061994662","",
